----------------------------------------------------------------------------------------------------
Make Directory citeseer/Gaussian_GCNConv in Logs
[91mNov28-16:54:15[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.003 cat=False skip=False
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 8001] | train acc: 6.529e-01 | val acc: 5.482e-01 | val graph: 3.220e-01 | test node: 5.193e-01 | test graph: 2.760e-01
[EPOCH 8201] | train acc: 6.322e-01 | val acc: 5.498e-01 | val graph: 3.280e-01 | test node: 5.113e-01 | test graph: 2.810e-01
[EPOCH 8401] | train acc: 7.211e-01 | val acc: 6.139e-01 | val graph: 3.740e-01 | test node: 5.937e-01 | test graph: 3.270e-01
[EPOCH 8601] | train acc: 6.426e-01 | val acc: 5.551e-01 | val graph: 3.260e-01 | test node: 5.177e-01 | test graph: 2.840e-01
[EPOCH 8801] | train acc: 6.860e-01 | val acc: 5.662e-01 | val graph: 3.340e-01 | test node: 5.285e-01 | test graph: 2.920e-01
[EPOCH 9001] | train acc: 6.921e-01 | val acc: 5.641e-01 | val graph: 3.320e-01 | test node: 5.393e-01 | test graph: 3.100e-01
[EPOCH 9201] | train acc: 7.087e-01 | val acc: 6.017e-01 | val graph: 3.700e-01 | test node: 5.723e-01 | test graph: 3.280e-01
[EPOCH 9401] | train acc: 7.066e-01 | val acc: 6.144e-01 | val graph: 3.840e-01 | test node: 5.876e-01 | test graph: 3.480e-01
[EPOCH 9601] | train acc: 7.128e-01 | val acc: 6.351e-01 | val graph: 4.060e-01 | test node: 6.084e-01 | test graph: 3.690e-01
[EPOCH 9801] | train acc: 7.335e-01 | val acc: 6.361e-01 | val graph: 4.080e-01 | test node: 6.145e-01 | test graph: 3.720e-01
[EPOCH 10001] | train acc: 7.149e-01 | val acc: 6.287e-01 | val graph: 4.020e-01 | test node: 6.121e-01 | test graph: 3.770e-01
[EPOCH 10201] | train acc: 7.149e-01 | val acc: 6.314e-01 | val graph: 3.980e-01 | test node: 6.132e-01 | test graph: 3.730e-01
[EPOCH 10401] | train acc: 7.169e-01 | val acc: 6.266e-01 | val graph: 4.000e-01 | test node: 6.156e-01 | test graph: 3.810e-01
[EPOCH 10601] | train acc: 7.169e-01 | val acc: 6.303e-01 | val graph: 4.060e-01 | test node: 6.195e-01 | test graph: 3.880e-01
[EPOCH 10801] | train acc: 7.293e-01 | val acc: 6.298e-01 | val graph: 4.080e-01 | test node: 6.164e-01 | test graph: 3.830e-01
[EPOCH 11001] | train acc: 7.376e-01 | val acc: 6.340e-01 | val graph: 4.060e-01 | test node: 6.198e-01 | test graph: 3.810e-01
[EPOCH 11201] | train acc: 7.955e-01 | val acc: 6.494e-01 | val graph: 4.140e-01 | test node: 6.443e-01 | test graph: 3.930e-01
[EPOCH 11401] | train acc: 8.161e-01 | val acc: 7.288e-01 | val graph: 4.880e-01 | test node: 7.153e-01 | test graph: 4.550e-01
[EPOCH 11601] | train acc: 8.120e-01 | val acc: 7.410e-01 | val graph: 5.060e-01 | test node: 7.348e-01 | test graph: 4.780e-01
