----------------------------------------------------------------------------------------------------
Make Directory citeseer/Gaussian_SAGEConv in Logs
[91mNov28-16:43:57[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 4001] | train acc: 9.938e-01 | val acc: 7.468e-01 | val graph: 4.700e-01 | test node: 7.604e-01 | test graph: 4.920e-01
[EPOCH 4101] | train acc: 9.959e-01 | val acc: 7.463e-01 | val graph: 4.700e-01 | test node: 7.633e-01 | test graph: 4.970e-01
[EPOCH 4201] | train acc: 9.959e-01 | val acc: 7.357e-01 | val graph: 4.400e-01 | test node: 7.393e-01 | test graph: 4.560e-01
[EPOCH 4301] | train acc: 9.959e-01 | val acc: 7.479e-01 | val graph: 4.740e-01 | test node: 7.615e-01 | test graph: 4.930e-01
[EPOCH 4401] | train acc: 9.959e-01 | val acc: 7.410e-01 | val graph: 4.640e-01 | test node: 7.615e-01 | test graph: 4.930e-01
[EPOCH 4501] | train acc: 9.959e-01 | val acc: 7.378e-01 | val graph: 4.660e-01 | test node: 7.533e-01 | test graph: 4.780e-01
[EPOCH 4601] | train acc: 9.959e-01 | val acc: 7.399e-01 | val graph: 4.620e-01 | test node: 7.565e-01 | test graph: 4.780e-01
[EPOCH 4701] | train acc: 9.959e-01 | val acc: 7.346e-01 | val graph: 4.720e-01 | test node: 7.551e-01 | test graph: 4.870e-01
[EPOCH 4801] | train acc: 9.959e-01 | val acc: 7.389e-01 | val graph: 4.600e-01 | test node: 7.557e-01 | test graph: 4.770e-01
[EPOCH 4901] | train acc: 9.959e-01 | val acc: 7.442e-01 | val graph: 4.720e-01 | test node: 7.641e-01 | test graph: 4.950e-01
[EPOCH 5001] | train acc: 9.959e-01 | val acc: 7.383e-01 | val graph: 4.620e-01 | test node: 7.596e-01 | test graph: 4.900e-01
