----------------------------------------------------------------------------------------------------
Make Directory Wisconsin/Continuous_GATConv in Logs
[91mSep27-07:06:39[0m
----------------------------------------------------------------------------------------------------
[Wisconsin]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.1 schedule=True weight_decay=0.001  skip=False load start=1000
nhid=8 layers=1 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 0951] | train acc: 1.000e+00 | val acc: 6.250e-01 | test acc: 4.902e-01
[EPOCH 1001] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 4.902e-01
[EPOCH 1051] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 4.902e-01
[EPOCH 1101] | train acc: 9.917e-01 | val acc: 6.250e-01 | test acc: 4.902e-01
[EPOCH 1151] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1201] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1251] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1301] | train acc: 9.917e-01 | val acc: 6.500e-01 | test acc: 5.098e-01
[EPOCH 1351] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1401] | train acc: 1.000e+00 | val acc: 6.625e-01 | test acc: 4.902e-01
[EPOCH 1451] | train acc: 1.000e+00 | val acc: 6.250e-01 | test acc: 5.098e-01
[EPOCH 1501] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 4.902e-01
[EPOCH 1551] | train acc: 1.000e+00 | val acc: 6.250e-01 | test acc: 5.098e-01
[EPOCH 1601] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 4.902e-01
[EPOCH 1651] | train acc: 1.000e+00 | val acc: 6.250e-01 | test acc: 4.902e-01
[EPOCH 1701] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1751] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1801] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 1851] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 4.902e-01
[EPOCH 1901] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 4.902e-01
[EPOCH 1951] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 5.098e-01
[EPOCH 2001] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 5.098e-01
[EPOCH 2051] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 2101] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 5.098e-01
[EPOCH 2151] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 2201] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 5.098e-01
[EPOCH 2251] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 2301] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 5.098e-01
[EPOCH 2351] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 2401] | train acc: 1.000e+00 | val acc: 6.375e-01 | test acc: 5.098e-01
[EPOCH 2451] | train acc: 1.000e+00 | val acc: 6.500e-01 | test acc: 5.098e-01
