----------------------------------------------------------------------------------------------------
Make Directory pubmed/Gaussian_SAGEConv in Logs
[91mSep27-11:04:56[0m
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 4001] | train acc: 1.000e+00 | val acc: 8.032e-01 | val graph: 5.020e-01 | test node: 7.798e-01 | test graph: 4.770e-01
[EPOCH 4101] | train acc: 1.000e+00 | val acc: 7.987e-01 | val graph: 4.980e-01 | test node: 7.780e-01 | test graph: 4.770e-01
[EPOCH 4201] | train acc: 1.000e+00 | val acc: 8.032e-01 | val graph: 5.000e-01 | test node: 7.839e-01 | test graph: 4.910e-01
[EPOCH 4301] | train acc: 1.000e+00 | val acc: 7.950e-01 | val graph: 5.000e-01 | test node: 7.782e-01 | test graph: 4.830e-01
[EPOCH 4401] | train acc: 1.000e+00 | val acc: 8.010e-01 | val graph: 5.000e-01 | test node: 7.837e-01 | test graph: 4.810e-01
[EPOCH 4501] | train acc: 1.000e+00 | val acc: 7.987e-01 | val graph: 4.980e-01 | test node: 7.777e-01 | test graph: 4.760e-01
[EPOCH 4601] | train acc: 1.000e+00 | val acc: 8.028e-01 | val graph: 5.000e-01 | test node: 7.796e-01 | test graph: 4.780e-01
[EPOCH 4701] | train acc: 1.000e+00 | val acc: 7.999e-01 | val graph: 4.880e-01 | test node: 7.755e-01 | test graph: 4.720e-01
[EPOCH 4801] | train acc: 1.000e+00 | val acc: 8.006e-01 | val graph: 4.940e-01 | test node: 7.771e-01 | test graph: 4.730e-01
[EPOCH 4901] | train acc: 1.000e+00 | val acc: 7.995e-01 | val graph: 4.920e-01 | test node: 7.734e-01 | test graph: 4.700e-01
 
