----------------------------------------------------------------------------------------------------
Make Directory pubmed/Gaussian_GATConv in Logs
[91mSep27-11:31:09[0m
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=True diffusion_steps=80 schedule=True weight_decay=0.0005 cat=False skip=False
nhid=256 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 4001] | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
[EPOCH 4101] | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
[EPOCH 4201] | train acc: 3.221e-01 | val acc: 1.835e-01 | val graph: 1.200e-01 | test node: 1.639e-01 | test graph: 8.900e-02
[EPOCH 4301] | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
[EPOCH 4401] | train acc: 4.510e-01 | val acc: 4.465e-01 | val graph: 2.820e-01 | test node: 4.608e-01 | test graph: 3.040e-01
[EPOCH 4501] | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
[EPOCH 4601] | train acc: 5.406e-01 | val acc: 5.154e-01 | val graph: 3.500e-01 | test node: 4.935e-01 | test graph: 3.150e-01
[EPOCH 4701] | train acc: 5.854e-01 | val acc: 5.553e-01 | val graph: 3.940e-01 | test node: 5.323e-01 | test graph: 3.370e-01
[EPOCH 4801] | train acc: 5.574e-01 | val acc: 5.364e-01 | val graph: 3.760e-01 | test node: 5.097e-01 | test graph: 3.280e-01
[EPOCH 4901] | train acc: 5.938e-01 | val acc: 5.483e-01 | val graph: 3.900e-01 | test node: 5.248e-01 | test graph: 3.370e-01
[EPOCH 5001] | train acc: 8.039e-01 | val acc: 7.525e-01 | val graph: 5.200e-01 | test node: 7.338e-01 | test graph: 4.990e-01
[EPOCH 5101] | train acc: 6.162e-01 | val acc: 5.020e-01 | val graph: 3.820e-01 | test node: 5.109e-01 | test graph: 3.680e-01
[EPOCH 5201] | train acc: 8.123e-01 | val acc: 7.414e-01 | val graph: 5.320e-01 | test node: 7.078e-01 | test graph: 4.870e-01
[EPOCH 5301] | train acc: 5.966e-01 | val acc: 5.505e-01 | val graph: 3.920e-01 | test node: 5.303e-01 | test graph: 3.400e-01
[EPOCH 5401] | train acc: 8.179e-01 | val acc: 7.725e-01 | val graph: 5.740e-01 | test node: 7.318e-01 | test graph: 5.140e-01
[EPOCH 5501] | train acc: 7.675e-01 | val acc: 6.963e-01 | val graph: 4.780e-01 | test node: 6.750e-01 | test graph: 4.550e-01
[EPOCH 5601] | train acc: 7.171e-01 | val acc: 6.049e-01 | val graph: 3.940e-01 | test node: 5.806e-01 | test graph: 3.920e-01
