----------------------------------------------------------------------------------------------------
Make Directory citeseer/Continuous_GATConv in Logs
[91mSep27-07:49:44[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 6201] | train acc: 9.833e-01 | val acc: 7.300e-01 | test acc: 7.400e-01
[EPOCH 6301] | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.390e-01
[EPOCH 6401] | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.430e-01
[EPOCH 6501] | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.380e-01
[EPOCH 6601] | train acc: 9.750e-01 | val acc: 7.280e-01 | test acc: 7.310e-01
[EPOCH 6701] | train acc: 9.583e-01 | val acc: 7.260e-01 | test acc: 7.400e-01
[EPOCH 6801] | train acc: 9.667e-01 | val acc: 7.340e-01 | test acc: 7.390e-01
[EPOCH 6901] | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.420e-01
[EPOCH 7001] | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.270e-01
[EPOCH 7101] | train acc: 9.750e-01 | val acc: 7.480e-01 | test acc: 7.480e-01
[EPOCH 7201] | train acc: 9.667e-01 | val acc: 7.300e-01 | test acc: 7.360e-01
[EPOCH 7301] | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.380e-01
[EPOCH 7401] | train acc: 9.667e-01 | val acc: 7.440e-01 | test acc: 7.430e-01
[EPOCH 7501] | train acc: 9.583e-01 | val acc: 7.320e-01 | test acc: 7.450e-01
[EPOCH 7601] | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.390e-01
[EPOCH 7701] | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.450e-01
[EPOCH 7801] | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.400e-01
[EPOCH 7901] | train acc: 9.833e-01 | val acc: 7.340e-01 | test acc: 7.360e-01
