----------------------------------------------------------------------------------------------------
Make Directory Computers/Continuous_GATConv in Logs
[91mSep27-04:27:04[0m
----------------------------------------------------------------------------------------------------
[Computers]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.0001  skip=False load start=2000
nhid=16 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 6201] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.662e-01
[EPOCH 6301] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.650e-01
[EPOCH 6401] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.650e-01
[EPOCH 6501] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.670e-01
[EPOCH 6601] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.667e-01
[EPOCH 6701] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.645e-01
[EPOCH 6801] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.654e-01
[EPOCH 6901] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.658e-01
[EPOCH 7001] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.663e-01
[EPOCH 7101] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.655e-01
[EPOCH 7201] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.670e-01
[EPOCH 7301] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.656e-01
[EPOCH 7401] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.647e-01
[EPOCH 7501] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.653e-01
[EPOCH 7601] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.656e-01
[EPOCH 7701] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.661e-01
[EPOCH 7801] | train acc: 1.000e+00 | val acc: 8.800e-01 | test acc: 8.636e-01
[EPOCH 7901] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.638e-01
[EPOCH 8001] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.655e-01
[EPOCH 8101] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.633e-01
[EPOCH 8201] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.637e-01
[EPOCH 8301] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.643e-01
[EPOCH 8401] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.632e-01
[EPOCH 8501] | train acc: 1.000e+00 | val acc: 8.867e-01 | test acc: 8.636e-01
[EPOCH 8601] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.647e-01
[EPOCH 8701] | train acc: 1.000e+00 | val acc: 8.800e-01 | test acc: 8.619e-01
[EPOCH 8801] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.644e-01
[EPOCH 8901] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.633e-01
[EPOCH 9001] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.633e-01
[EPOCH 9101] | train acc: 1.000e+00 | val acc: 8.800e-01 | test acc: 8.621e-01
[EPOCH 9201] | train acc: 1.000e+00 | val acc: 8.800e-01 | test acc: 8.629e-01
[EPOCH 9301] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.618e-01
[EPOCH 9401] | train acc: 1.000e+00 | val acc: 8.767e-01 | test acc: 8.615e-01
[EPOCH 9501] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.626e-01
