----------------------------------------------------------------------------------------------------
Make Directory pubmed/Continuous_GATConv in Logs
[91mSep27-07:16:48[0m
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=1 schedule=True weight_decay=0.001  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 2301] | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 7.990e-01
[EPOCH 2401] | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 7.980e-01
[EPOCH 2501] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.000e-01
[EPOCH 2601] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.000e-01
[EPOCH 2701] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 7.980e-01
[EPOCH 2801] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.010e-01
[EPOCH 2901] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.020e-01
[EPOCH 3001] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.030e-01
[EPOCH 3101] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.050e-01
[EPOCH 3201] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.070e-01
[EPOCH 3301] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.040e-01
[EPOCH 3401] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.030e-01
[EPOCH 3501] | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.050e-01
[EPOCH 3601] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.080e-01
[EPOCH 3701] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.100e-01
[EPOCH 3801] | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.100e-01
[EPOCH 3901] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.100e-01
[EPOCH 4001] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.090e-01
